                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.68976,                0.44246,                0.87058,                0.90657,                0.92857,                0.96955,                 0.7821,                0.87579,                0.53122,                0.93154,             0.00049925,             0.00049925,             0.00049925
                     94,                0.68373,                0.43556,                0.86107,                0.91001,                0.92857,                  0.974,                 0.7491,                0.95397,                0.51346,                0.96737,               0.000491,               0.000491,               0.000491
                     95,                  0.696,                0.44715,                0.87556,                 0.9167,                0.92857,                0.97944,                 0.7577,                0.91871,                0.50659,                0.95223,             0.00048275,             0.00048275,             0.00048275
                     96,                  0.677,                0.42143,                0.87339,                0.96882,                 0.9371,                0.99062,                0.78243,                0.92255,                0.47575,                0.95424,              0.0004745,              0.0004745,              0.0004745
                     97,                0.65782,                0.41586,                0.86961,                0.98576,                0.93776,                0.99062,                0.76067,                0.95341,                0.48298,                0.96233,             0.00046625,             0.00046625,             0.00046625
                     98,                0.67588,                0.43707,                0.85307,                0.98236,                0.95238,                0.99062,                0.78012,                0.92943,                0.47082,                0.95333,               0.000458,               0.000458,               0.000458
                     99,                0.67398,                0.41722,                0.86623,                0.98423,                0.94869,                0.98722,                0.75701,                0.95135,                0.46739,                0.96641,             0.00044975,             0.00044975,             0.00044975
                    100,                0.63954,                0.40011,                0.85075,                0.98647,                0.94678,                0.99062,                 0.7723,                0.92351,                0.44194,                0.94782,              0.0004415,              0.0004415,              0.0004415
                    101,                0.66549,                0.41209,                0.86045,                0.96423,                0.98807,                  0.995,                0.77303,                0.94215,                0.44743,                0.95495,             0.00043325,             0.00043325,             0.00043325
                    102,                0.66722,                0.40708,                0.85722,                0.99135,                0.93377,                  0.995,                0.77727,                0.93114,                0.44693,                0.95548,               0.000425,               0.000425,               0.000425
                    103,                0.64481,                 0.3976,                0.86344,                0.99047,                0.93451,                  0.995,                0.78371,                0.93694,                0.42871,                0.96099,             0.00041675,             0.00041675,             0.00041675
                    104,                0.68098,                0.41809,                0.86338,                0.98781,                0.94046,                  0.995,                0.78058,                0.97934,                0.44075,                0.98777,              0.0004085,              0.0004085,              0.0004085
                    105,                0.66417,                0.40331,                0.85598,                0.98511,                0.93914,                  0.995,                0.77889,                0.95667,                0.44107,                0.96675,             0.00040025,             0.00040025,             0.00040025
                    106,                0.66824,                0.40489,                0.86579,                0.98371,                0.93662,                  0.995,                 0.7724,                0.94458,                0.45119,                0.96025,               0.000392,               0.000392,               0.000392
                    107,                0.64628,                0.39666,                  0.852,                0.98437,                0.93525,                0.99062,                0.75708,                0.96907,                0.45939,                0.97112,             0.00038375,             0.00038375,             0.00038375
                    108,                0.63723,                0.39477,                0.85726,                 0.9639,                0.93219,                0.99062,                0.77213,                0.95927,                 0.4515,                0.96613,              0.0003755,              0.0003755,              0.0003755
                    109,                 0.6249,                0.39985,                0.85536,                0.94795,                0.92857,                0.97379,                0.75791,                0.95903,                0.47646,                0.97286,             0.00036725,             0.00036725,             0.00036725
                    110,                0.64131,                0.39372,                0.85154,                0.96465,                0.87727,                  0.964,                0.74657,                 1.0018,                0.49109,                0.99078,               0.000359,               0.000359,               0.000359
